product_id;product_class_id;brand_name;product_name;SKU;SRP;gross_weight;net_weight;recyclable_package;low_fat;units_per_case;cases_per_pallet;shelf_width;shelf_height;shelf_depth;product_subcategory;product_category;product_department;product_family;All
885;5;Monarch;Monarch Spaghetti;63815643191;13.800;13.3;11.3;1;1;35;10;7.64;21.9;19.8;Pasta;Starchy Foods;Starchy Foods;Food;ALL
888;5;Discover;Discover Ravioli;68024984002;0.8800;8.06;6.06;0;1;5;6;8.42;13.5;14.6;Pasta;Starchy Foods;Starchy Foods;Food;ALL
889;5;Discover;Discover Manicotti;58628250956;16.100;16;14;1;0;7;5;22.4;17.8;16.4;Pasta;Starchy Foods;Starchy Foods;Food;ALL
890;5;Discover;Discover Spaghetti;31347234845;26.100;21.7;20.7;1;1;6;10;3.54;5.15;21.5;Pasta;Starchy Foods;Starchy Foods;Food;ALL
1199;5;Colossal;Colossal Ravioli;16300310492;25.600;8.6;6.6;0;1;10;7;17.9;20.6;22.5;Pasta;Starchy Foods;Starchy Foods;Food;ALL
1200;5;Colossal;Colossal Manicotti;52830463051;18.700;14.7;13.6;1;0;23;9;21.2;4.63;17.4;Pasta;Starchy Foods;Starchy Foods;Food;ALL
1201;5;Colossal;Colossal Spaghetti;45503966212;33.700;21.9;19.8;1;0;12;8;17.8;14.2;4.63;Pasta;Starchy Foods;Starchy Foods;Food;ALL
1510;5;Jardon;Jardon Ravioli;95762093663;0.9600;17.7;15.7;1;1;9;7;8.47;16.7;12.3;Pasta;Starchy Foods;Starchy Foods;Food;ALL
1511;5;Jardon;Jardon Manicotti;49561676383;12.000;11.5;9.5;1;1;22;5;11.9;14.4;18.5;Pasta;Starchy Foods;Starchy Foods;Food;ALL
1512;5;Jardon;Jardon Spaghetti;53042894005;0.5400;13.7;10.6;1;0;28;13;12.8;12.6;9.81;Pasta;Starchy Foods;Starchy Foods;Food;ALL
61;6;Club;Club Strawberry Yogurt;93602067828;0.7400;13.4;11.3;0;1;22;12;16.3;11.5;13.8;Yogurt;Dairy;Dairy;Food;ALL
62;6;Club;Club Blueberry Yogurt;70894454121;38.200;14.1;11.1;0;1;32;8;11;17.4;5.51;Yogurt;Dairy;Dairy;Food;ALL
372;6;Carlson;Carlson Strawberry Yogurt;51097241044;39.800;14.8;12.8;0;0;30;7;20;18.3;11;Yogurt;Dairy;Dairy;Food;ALL
373;6;Carlson;Carlson Blueberry Yogurt;72246276736;27.600;11.9;10.8;1;1;19;13;6.33;9.54;21.3;Yogurt;Dairy;Dairy;Food;ALL
683;6;Gorilla;Gorilla Strawberry Yogurt;79842271208;21.600;8.58;5.57;1;0;20;9;7.16;21.1;6.7;Yogurt;Dairy;Dairy;Food;ALL
684;6;Gorilla;Gorilla Blueberry Yogurt;21799021363;0.6800;9.71;7.71;1;1;18;12;16.7;7.13;13.1;Yogurt;Dairy;Dairy;Food;ALL
999;6;Even Better;Even Better Strawberry Yogurt;45356659293;27.100;17.1;15.1;1;1;26;11;7.42;22.1;8.43;Yogurt;Dairy;Dairy;Food;ALL
1000;6;Even Better;Even Better Blueberry Yogurt;48837876915;26.900;7.42;5.42;1;0;33;13;9.23;15;3.37;Yogurt;Dairy;Dairy;Food;ALL
1310;6;Booker;Booker Strawberry Yogurt;74894507527;39.800;20.9;18.8;0;0;12;11;3.53;3.84;14.4;Yogurt;Dairy;Dairy;Food;ALL
1311;6;Booker;Booker Blueberry Yogurt;85645155310;32.200;21.7;19.7;0;1;5;6;8.09;15.2;8.61;Yogurt;Dairy;Dairy;Food;ALL
72;8;Red Spade;Red Spade Corned Beef;36696267724;27.400;20.2;17.2;0;1;6;6;20.8;11.4;15.2;Deli Meats;Meat;Deli;Food;ALL
73;8;Red Spade;Red Spade Sliced Turkey;86320835947;23.300;19.1;16.1;0;0;22;11;15.9;9.46;4.95;Deli Meats;Meat;Deli;Food;ALL
74;8;Red Spade;Red Spade Sliced Ham;35137689709;15.700;6.13;5.13;0;1;5;7;3.38;18.8;20.8;Deli Meats;Meat;Deli;Food;ALL
76;8;Red Spade;Red Spade Sliced Chicken;62054644227;16.900;18.1;17.1;0;1;4;7;14.6;13.5;3.42;Deli Meats;Meat;Deli;Food;ALL
383;8;Moms;Moms Corned Beef;13063635230;27.500;13.2;11.1;1;1;33;7;9.78;11.3;12.1;Deli Meats;Meat;Deli;Food;ALL
384;8;Moms;Moms Sliced Turkey;49593787789;0.5400;14.7;12.6;1;1;25;9;11.2;6.15;18.5;Deli Meats;Meat;Deli;Food;ALL
385;8;Moms;Moms Sliced Ham;31050249934;15.600;11.3;9.3;0;0;5;9;16.6;22.8;3.99;Deli Meats;Meat;Deli;Food;ALL
387;8;Moms;Moms Sliced Chicken;88729438185;24.100;17.7;16.7;1;0;14;8;19;21.3;13.6;Deli Meats;Meat;Deli;Food;ALL
694;8;Cutting Edge;Cutting Edge Corned Beef;92789090275;29.500;11.2;9.19;0;1;29;11;5.75;5.61;3.81;Deli Meats;Meat;Deli;Food;ALL
695;8;Cutting Edge;Cutting Edge Sliced Turkey;83175892233;35.200;12.9;9.89;1;1;3;13;14.3;12.6;7.68;Deli Meats;Meat;Deli;Food;ALL
696;8;Cutting Edge;Cutting Edge Sliced Ham;75176396965;0.7200;19.6;17.6;1;1;24;9;20;22.2;7.48;Deli Meats;Meat;Deli;Food;ALL
698;8;Cutting Edge;Cutting Edge Sliced Chicken;73617818951;23.300;6.86;4.86;1;1;28;9;21;18.6;12.6;Deli Meats;Meat;Deli;Food;ALL
1010;8;American;American Corned Beef;86779010891;26.500;7.19;6.19;1;1;10;12;8.61;11.1;14.6;Deli Meats;Meat;Deli;Food;ALL
1011;8;American;American Sliced Turkey;48690280318;31.700;14.8;13.8;0;1;13;8;7.35;17.5;11.6;Deli Meats;Meat;Deli;Food;ALL
1012;8;American;American Sliced Ham;11010876297;27.600;6.81;3.8;0;1;7;12;19.8;6.15;16;Deli Meats;Meat;Deli;Food;ALL
1014;8;American;American Sliced Chicken;66403363347;0.5900;7.32;5.32;1;0;24;10;7.19;4.58;12;Deli Meats;Meat;Deli;Food;ALL
1321;8;Lake;Lake Corned Beef;55201718211;24.900;16.9;15.8;1;0;8;8;20.4;4.13;16.7;Deli Meats;Meat;Deli;Food;ALL
1322;8;Lake;Lake Sliced Turkey;94018571972;32.000;6.66;5.65;0;1;6;13;21.5;11.4;21.8;Deli Meats;Meat;Deli;Food;ALL
1323;8;Lake;Lake Sliced Ham;22880906462;29.400;10.5;8.5;1;1;29;7;4.36;13.1;9.99;Deli Meats;Meat;Deli;Food;ALL
1325;8;Lake;Lake Sliced Chicken;19035627245;14.300;12.8;9.8;0;1;25;5;9.48;14.9;15.5;Deli Meats;Meat;Deli;Food;ALL
103;9;Golden;Golden Ice Cream;46069397330;0.9500;9.81;8.81;1;0;13;8;6.22;15.8;11.8;Ice Cream;Frozen Desserts;Frozen Foods;Food;ALL
104;9;Golden;Golden Ice Cream Sandwich;49550614953;38.900;12.3;10.3;0;1;11;8;9.93;17.4;17.9;Ice Cream;Frozen Desserts;Frozen Foods;Food;ALL
109;9;Golden;Golden Popsicles;51792051196;39.500;19;16;0;0;11;12;6.69;10.4;7.67;Ice Cream;Frozen Desserts;Frozen Foods;Food;ALL
414;9;Big Time;Big Time Ice Cream;33460944294;27.700;19.9;16.8;1;1;3;12;12;19.9;16.3;Ice Cream;Frozen Desserts;Frozen Foods;Food;ALL
415;9;Big Time;Big Time Ice Cream Sandwich;80798811316;29.100;17.4;16.3;1;1;6;10;21.9;18.9;16.5;Ice Cream;Frozen Desserts;Frozen Foods;Food;ALL
420;9;Big Time;Big Time Popsicles;41470299363;22.700;20.6;19.6;1;1;29;12;15;9.4;9.94;Ice Cream;Frozen Desserts;Frozen Foods;Food;ALL
725;9;Imagine;Imagine Ice Cream;58714897036;14.900;7.33;5.32;0;0;4;14;21.9;14.8;3.48;Ice Cream;Frozen Desserts;Frozen Foods;Food;ALL
726;9;Imagine;Imagine Ice Cream Sandwich;92958348393;32.100;8.47;6.47;0;1;5;9;20.1;19.6;10;Ice Cream;Frozen Desserts;Frozen Foods;Food;ALL
731;9;Imagine;Imagine Popsicles;92913083434;38.100;13.7;10.6;0;0;9;11;9.89;4.82;20.1;Ice Cream;Frozen Desserts;Frozen Foods;Food;ALL
1041;9;PigTail;PigTail Ice Cream;81180350184;0.7100;20;18;0;1;2;7;11.1;22.7;4.03;Ice Cream;Frozen Desserts;Frozen Foods;Food;ALL
1042;9;PigTail;PigTail Ice Cream Sandwich;86948269009;11.500;16.6;14.6;1;0;14;6;17.6;17.2;16.8;Ice Cream;Frozen Desserts;Frozen Foods;Food;ALL
1047;9;PigTail;PigTail Popsicles;34525341391;32.300;10;8;1;0;16;13;15.5;13.7;5.81;Ice Cream;Frozen Desserts;Frozen Foods;Food;ALL
1352;9;Carrington;Carrington Ice Cream;84529367089;26.500;17.7;14.7;1;1;18;10;16.3;20.4;22.3;Ice Cream;Frozen Desserts;Frozen Foods;Food;ALL
1353;9;Carrington;Carrington Ice Cream Sandwich;44153935313;22.400;13.9;12.8;1;0;19;7;17.7;20.4;22.9;Ice Cream;Frozen Desserts;Frozen Foods;Food;ALL
1358;9;Carrington;Carrington Popsicles;40161059498;21.000;11.5;8.5;0;0;13;8;16.4;7.24;17.9;Ice Cream;Frozen Desserts;Frozen Foods;Food;ALL
96;10;Golden;Golden Turkey TV Dinner;10314574837;21.100;10.7;9.69;1;1;35;8;17.5;21.7;13.5;TV Dinner;Frozen Entrees;Frozen Foods;Food;ALL
97;10;Golden;Golden Chicken TV Dinner;57605234980;0.5900;18.3;16.2;1;0;26;7;16.4;16.9;5.55;TV Dinner;Frozen Entrees;Frozen Foods;Food;ALL
98;10;Golden;Golden Beef TV Dinner;63373153805;18.300;9.43;6.43;0;0;33;11;4.38;3.28;15.2;TV Dinner;Frozen Entrees;Frozen Foods;Food;ALL
407;10;Big Time;Big Time Turkey TV Dinner;98513836264;32.100;6.35;5.34;0;1;34;9;13.2;20.6;14.5;TV Dinner;Frozen Entrees;Frozen Foods;Food;ALL
408;10;Big Time;Big Time Chicken TV Dinner;78092923760;22.000;15.7;14.6;1;1;19;6;11.5;14.9;13.4;TV Dinner;Frozen Entrees;Frozen Foods;Food;ALL
409;10;Big Time;Big Time Beef TV Dinner;37717491984;39.100;10.9;8.89;1;1;15;11;10;12.6;14.3;TV Dinner;Frozen Entrees;Frozen Foods;Food;ALL
718;10;Imagine;Imagine Turkey TV Dinner;54926684498;23.200;15;13;1;1;13;10;8.79;17.8;12.9;TV Dinner;Frozen Entrees;Frozen Foods;Food;ALL
719;10;Imagine;Imagine Chicken TV Dinner;12264551520;24.500;14.4;13.3;1;1;32;5;6.51;10.3;22.5;TV Dinner;Frozen Entrees;Frozen Foods;Food;ALL
720;10;Imagine;Imagine Beef TV Dinner;48794704079;0.8600;9.18;7.18;0;1;10;13;12.7;16.8;16;TV Dinner;Frozen Entrees;Frozen Foods;Food;ALL
1034;10;PigTail;PigTail Turkey TV Dinner;47448557019;29.100;21.9;19.8;1;0;23;7;6.33;15.3;20.3;TV Dinner;Frozen Entrees;Frozen Foods;Food;ALL
1035;10;PigTail;PigTail Chicken TV Dinner;42408761382;11.100;18.4;16.3;1;0;17;13;3.49;10.9;15.7;TV Dinner;Frozen Entrees;Frozen Foods;Food;ALL
1036;10;PigTail;PigTail Beef TV Dinner;74365511536;21.400;14.5;13.5;1;1;35;6;16.5;16.5;13.8;TV Dinner;Frozen Entrees;Frozen Foods;Food;ALL
1345;10;Carrington;Carrington Turkey TV Dinner;37703158259;36.800;10.2;9.19;0;1;14;8;6.02;20.4;18.6;TV Dinner;Frozen Entrees;Frozen Foods;Food;ALL
1346;10;Carrington;Carrington Chicken TV Dinner;98351905941;23.500;9.06;6.06;1;0;2;12;12.9;12.8;20.8;TV Dinner;Frozen Entrees;Frozen Foods;Food;ALL
1347;10;Carrington;Carrington Beef TV Dinner;60263175368;17.700;21.2;20.2;1;1;2;9;14.5;21.7;16.4;TV Dinner;Frozen Entrees;Frozen Foods;Food;ALL
46;11;Club;Club Jack Cheese;82158702015;34.400;14.4;12.3;1;0;19;7;12.7;20.9;7.42;Cheese;Dairy;Dairy;Food;ALL
47;11;Club;Club Muenster Cheese;39496569037;25.700;17.8;15.7;1;0;21;13;22.3;7.03;13.2;Cheese;Dairy;Dairy;Food;ALL
48;11;Club;Club String Cheese;76026721596;18.800;6.31;3.3;1;1;17;7;5.22;18.7;11.2;Cheese;Dairy;Dairy;Food;ALL
49;11;Club;Club Low Fat String Cheese;68700224757;33.800;17;15;0;0;30;12;22.8;6.48;4.65;Cheese;Dairy;Dairy;Food;ALL
50;11;Club;Club Havarti Cheese;74468143582;39.500;9.95;7.94;0;1;36;9;9.91;22.9;6.24;Cheese;Dairy;Dairy;Food;ALL
51;11;Club;Club Head Cheese;24898700118;14.700;8.41;5.4;0;1;9;11;13.1;7.54;18.6;Cheese;Dairy;Dairy;Food;ALL
52;11;Club;Club Cheese Spread;66002255082;21.700;14.5;13.5;1;1;27;13;7.4;10.4;6.06;Cheese;Dairy;Dairy;Food;ALL
53;11;Club;Club Sharp Cheddar Cheese;21053420901;36.100;18.8;16.7;1;1;18;9;21.6;18.8;6.58;Cheese;Dairy;Dairy;Food;ALL
54;11;Club;Club Mild Cheddar Cheese;31394742131;29.300;9.58;7.57;0;1;15;14;15.9;11.7;3.87;Cheese;Dairy;Dairy;Food;ALL
357;11;Carlson;Carlson Jack Cheese;83246852755;18.000;12.2;9.19;1;1;17;6;15.9;20.8;20.7;Cheese;Dairy;Dairy;Food;ALL
358;11;Carlson;Carlson Muenster Cheese;16273263096;37.500;19.3;16.2;0;0;30;10;14.8;6.08;22.9;Cheese;Dairy;Dairy;Food;ALL
359;11;Carlson;Carlson String Cheese;96660065054;13.200;20.9;18.8;1;0;16;6;15.2;7.58;19.2;Cheese;Dairy;Dairy;Food;ALL
360;11;Carlson;Carlson Low Fat String Cheese;10141282677;13.100;9.8;6.8;1;1;20;10;20.4;4.85;22.1;Cheese;Dairy;Dairy;Food;ALL
361;11;Carlson;Carlson Havarti Cheese;35863720774;11.300;14.1;12.1;1;0;15;12;14.7;13.2;22.6;Cheese;Dairy;Dairy;Food;ALL
362;11;Carlson;Carlson Head Cheese;98582704663;39.700;10.8;9.8;0;0;26;9;18.3;9.91;13.1;Cheese;Dairy;Dairy;Food;ALL
363;11;Carlson;Carlson Cheese Spread;27445039153;18.200;8.71;6.71;1;1;22;13;12.2;10.1;15.5;Cheese;Dairy;Dairy;Food;ALL
364;11;Carlson;Carlson Sharp Cheddar Cheese;35499659180;22.000;17.1;15.1;0;0;7;10;17.1;9.87;7.25;Cheese;Dairy;Dairy;Food;ALL
365;11;Carlson;Carlson Mild Cheddar Cheese;23599759936;39.600;11.9;9.89;1;0;29;5;21.6;16.4;5.76;Cheese;Dairy;Dairy;Food;ALL
668;11;Gorilla;Gorilla Jack Cheese;32799597382;39.300;21.9;18.8;1;0;27;14;19.8;11.7;5.87;Cheese;Dairy;Dairy;Food;ALL
669;11;Gorilla;Gorilla Muenster Cheese;51878396868;18.000;19.4;18.3;1;1;3;8;11.5;15.3;18.4;Cheese;Dairy;Dairy;Food;ALL
670;11;Gorilla;Gorilla String Cheese;29170783162;17.900;18.2;15.2;1;1;14;6;8.36;13.2;3.16;Cheese;Dairy;Dairy;Food;ALL
671;11;Gorilla;Gorilla Low Fat String Cheese;76508650183;29.300;20.8;19.7;1;1;29;7;11.6;17;19.2;Cheese;Dairy;Dairy;Food;ALL
672;11;Gorilla;Gorilla Havarti Cheese;23038802742;33.400;13.3;10.3;1;1;20;8;16.5;16.8;10.9;Cheese;Dairy;Dairy;Food;ALL
673;11;Gorilla;Gorilla Head Cheese;15712305903;27.400;18.2;17.2;0;0;13;7;11.6;19.6;16.3;Cheese;Dairy;Dairy;Food;ALL
674;11;Gorilla;Gorilla Cheese Spread;21480224728;31.800;21.1;20.1;1;1;30;9;10;7.9;4.79;Cheese;Dairy;Dairy;Food;ALL
675;11;Gorilla;Gorilla Sharp Cheddar Cheese;97293624281;35.900;13.1;10.1;1;1;24;13;22.6;16.5;9.17;Cheese;Dairy;Dairy;Food;ALL
676;11;Gorilla;Gorilla Mild Cheddar Cheese;72299309372;32.900;8.86;6.85;1;1;5;10;22;8.7;14.9;Cheese;Dairy;Dairy;Food;ALL
984;11;Even Better;Even Better Jack Cheese;59838452935;0.8100;6.33;4.32;1;1;20;10;19.1;18.8;20.1;Cheese;Dairy;Dairy;Food;ALL
985;11;Even Better;Even Better Muenster Cheese;85560891032;0.7200;12;9;1;1;12;11;20.1;6.21;5.26;Cheese;Dairy;Dairy;Food;ALL
986;11;Even Better;Even Better String Cheese;23160703778;35.000;14.6;12.6;0;1;21;8;13.9;22.2;8.84;Cheese;Dairy;Dairy;Food;ALL
987;11;Even Better;Even Better Low Fat String Cheese;42023038268;25.900;18.6;16.6;0;0;15;13;4.16;4.98;9.5;Cheese;Dairy;Dairy;Food;ALL
988;11;Even Better;Even Better Havarti Cheese;50077658295;36.100;6.94;3.94;1;0;11;11;8.48;7.78;7.51;Cheese;Dairy;Dairy;Food;ALL
989;11;Even Better;Even Better Head Cheese;38177759051;0.8400;13.1;10.1;1;0;18;13;10.4;9.59;17.4;Cheese;Dairy;Dairy;Food;ALL
990;11;Even Better;Even Better Cheese Spread;15470145344;31.200;7.91;6.9;1;0;13;9;18;22.9;13.3;Cheese;Dairy;Dairy;Food;ALL
