time_id,the_date,the_day,the_month,the_year,day_of_month,week_of_year,month_of_year,quarter,year_and_month,year_quarter,All
404,1997-02-07,Friday,February,1997,7,7,2,Q1,1997-02,1997-Q1,ALL
405,1997-02-08,Saturday,February,1997,8,7,2,Q1,1997-02,1997-Q1,ALL
406,1997-02-09,Sunday,February,1997,9,8,2,Q1,1997-02,1997-Q1,ALL
407,1997-02-10,Monday,February,1997,10,8,2,Q1,1997-02,1997-Q1,ALL
408,1997-02-11,Tuesday,February,1997,11,8,2,Q1,1997-02,1997-Q1,ALL
409,1997-02-12,Wednesday,February,1997,12,8,2,Q1,1997-02,1997-Q1,ALL
410,1997-02-13,Thursday,February,1997,13,8,2,Q1,1997-02,1997-Q1,ALL
411,1997-02-14,Friday,February,1997,14,8,2,Q1,1997-02,1997-Q1,ALL
412,1997-02-15,Saturday,February,1997,15,8,2,Q1,1997-02,1997-Q1,ALL
413,1997-02-16,Sunday,February,1997,16,9,2,Q1,1997-02,1997-Q1,ALL
414,1997-02-17,Monday,February,1997,17,9,2,Q1,1997-02,1997-Q1,ALL
415,1997-02-18,Tuesday,February,1997,18,9,2,Q1,1997-02,1997-Q1,ALL
416,1997-02-19,Wednesday,February,1997,19,9,2,Q1,1997-02,1997-Q1,ALL
417,1997-02-20,Thursday,February,1997,20,9,2,Q1,1997-02,1997-Q1,ALL
418,1997-02-21,Friday,February,1997,21,9,2,Q1,1997-02,1997-Q1,ALL
419,1997-02-22,Saturday,February,1997,22,9,2,Q1,1997-02,1997-Q1,ALL
420,1997-02-23,Sunday,February,1997,23,10,2,Q1,1997-02,1997-Q1,ALL
421,1997-02-24,Monday,February,1997,24,10,2,Q1,1997-02,1997-Q1,ALL
422,1997-02-25,Tuesday,February,1997,25,10,2,Q1,1997-02,1997-Q1,ALL
423,1997-02-26,Wednesday,February,1997,26,10,2,Q1,1997-02,1997-Q1,ALL
424,1997-02-27,Thursday,February,1997,27,10,2,Q1,1997-02,1997-Q1,ALL
425,1997-02-28,Friday,February,1997,28,10,2,Q1,1997-02,1997-Q1,ALL
426,1997-03-01,Saturday,March,1997,1,10,3,Q1,1997-03,1997-Q1,ALL
427,1997-03-02,Sunday,March,1997,2,11,3,Q1,1997-03,1997-Q1,ALL
428,1997-03-03,Monday,March,1997,3,11,3,Q1,1997-03,1997-Q1,ALL
429,1997-03-04,Tuesday,March,1997,4,11,3,Q1,1997-03,1997-Q1,ALL
430,1997-03-05,Wednesday,March,1997,5,11,3,Q1,1997-03,1997-Q1,ALL
431,1997-03-06,Thursday,March,1997,6,11,3,Q1,1997-03,1997-Q1,ALL
432,1997-03-07,Friday,March,1997,7,11,3,Q1,1997-03,1997-Q1,ALL
433,1997-03-08,Saturday,March,1997,8,11,3,Q1,1997-03,1997-Q1,ALL
434,1997-03-09,Sunday,March,1997,9,12,3,Q1,1997-03,1997-Q1,ALL
435,1997-03-10,Monday,March,1997,10,12,3,Q1,1997-03,1997-Q1,ALL
436,1997-03-11,Tuesday,March,1997,11,12,3,Q1,1997-03,1997-Q1,ALL
437,1997-03-12,Wednesday,March,1997,12,12,3,Q1,1997-03,1997-Q1,ALL
438,1997-03-13,Thursday,March,1997,13,12,3,Q1,1997-03,1997-Q1,ALL
439,1997-03-14,Friday,March,1997,14,12,3,Q1,1997-03,1997-Q1,ALL
440,1997-03-15,Saturday,March,1997,15,12,3,Q1,1997-03,1997-Q1,ALL
441,1997-03-16,Sunday,March,1997,16,13,3,Q1,1997-03,1997-Q1,ALL
442,1997-03-17,Monday,March,1997,17,13,3,Q1,1997-03,1997-Q1,ALL
443,1997-03-18,Tuesday,March,1997,18,13,3,Q1,1997-03,1997-Q1,ALL
444,1997-03-19,Wednesday,March,1997,19,13,3,Q1,1997-03,1997-Q1,ALL
445,1997-03-20,Thursday,March,1997,20,13,3,Q1,1997-03,1997-Q1,ALL
446,1997-03-21,Friday,March,1997,21,13,3,Q1,1997-03,1997-Q1,ALL
447,1997-03-22,Saturday,March,1997,22,13,3,Q1,1997-03,1997-Q1,ALL
448,1997-03-23,Sunday,March,1997,23,14,3,Q1,1997-03,1997-Q1,ALL
449,1997-03-24,Monday,March,1997,24,14,3,Q1,1997-03,1997-Q1,ALL
450,1997-03-25,Tuesday,March,1997,25,14,3,Q1,1997-03,1997-Q1,ALL
451,1997-03-26,Wednesday,March,1997,26,14,3,Q1,1997-03,1997-Q1,ALL
452,1997-03-27,Thursday,March,1997,27,14,3,Q1,1997-03,1997-Q1,ALL
453,1997-03-28,Friday,March,1997,28,14,3,Q1,1997-03,1997-Q1,ALL
454,1997-03-29,Saturday,March,1997,29,14,3,Q1,1997-03,1997-Q1,ALL
455,1997-03-30,Sunday,March,1997,30,15,3,Q1,1997-03,1997-Q1,ALL
456,1997-03-31,Monday,March,1997,31,15,3,Q1,1997-03,1997-Q1,ALL
457,1997-04-01,Tuesday,April,1997,1,15,4,Q2,1997-04,1997-Q2,ALL
458,1997-04-02,Wednesday,April,1997,2,15,4,Q2,1997-04,1997-Q2,ALL
459,1997-04-03,Thursday,April,1997,3,15,4,Q2,1997-04,1997-Q2,ALL
460,1997-04-04,Friday,April,1997,4,15,4,Q2,1997-04,1997-Q2,ALL
461,1997-04-05,Saturday,April,1997,5,15,4,Q2,1997-04,1997-Q2,ALL
462,1997-04-06,Sunday,April,1997,6,16,4,Q2,1997-04,1997-Q2,ALL
463,1997-04-07,Monday,April,1997,7,16,4,Q2,1997-04,1997-Q2,ALL
464,1997-04-08,Tuesday,April,1997,8,16,4,Q2,1997-04,1997-Q2,ALL
465,1997-04-09,Wednesday,April,1997,9,16,4,Q2,1997-04,1997-Q2,ALL
466,1997-04-10,Thursday,April,1997,10,16,4,Q2,1997-04,1997-Q2,ALL
467,1997-04-11,Friday,April,1997,11,16,4,Q2,1997-04,1997-Q2,ALL
468,1997-04-12,Saturday,April,1997,12,16,4,Q2,1997-04,1997-Q2,ALL
469,1997-04-13,Sunday,April,1997,13,17,4,Q2,1997-04,1997-Q2,ALL
470,1997-04-14,Monday,April,1997,14,17,4,Q2,1997-04,1997-Q2,ALL
471,1997-04-15,Tuesday,April,1997,15,17,4,Q2,1997-04,1997-Q2,ALL
472,1997-04-16,Wednesday,April,1997,16,17,4,Q2,1997-04,1997-Q2,ALL
473,1997-04-17,Thursday,April,1997,17,17,4,Q2,1997-04,1997-Q2,ALL
474,1997-04-18,Friday,April,1997,18,17,4,Q2,1997-04,1997-Q2,ALL
475,1997-04-19,Saturday,April,1997,19,17,4,Q2,1997-04,1997-Q2,ALL
476,1997-04-20,Sunday,April,1997,20,18,4,Q2,1997-04,1997-Q2,ALL
477,1997-04-21,Monday,April,1997,21,18,4,Q2,1997-04,1997-Q2,ALL
478,1997-04-22,Tuesday,April,1997,22,18,4,Q2,1997-04,1997-Q2,ALL
479,1997-04-23,Wednesday,April,1997,23,18,4,Q2,1997-04,1997-Q2,ALL
480,1997-04-24,Thursday,April,1997,24,18,4,Q2,1997-04,1997-Q2,ALL
481,1997-04-25,Friday,April,1997,25,18,4,Q2,1997-04,1997-Q2,ALL
482,1997-04-26,Saturday,April,1997,26,18,4,Q2,1997-04,1997-Q2,ALL
483,1997-04-27,Sunday,April,1997,27,19,4,Q2,1997-04,1997-Q2,ALL
484,1997-04-28,Monday,April,1997,28,19,4,Q2,1997-04,1997-Q2,ALL
485,1997-04-29,Tuesday,April,1997,29,19,4,Q2,1997-04,1997-Q2,ALL
486,1997-04-30,Wednesday,April,1997,30,19,4,Q2,1997-04,1997-Q2,ALL
487,1997-05-01,Thursday,May,1997,1,19,5,Q2,1997-05,1997-Q2,ALL
488,1997-05-02,Friday,May,1997,2,19,5,Q2,1997-05,1997-Q2,ALL
489,1997-05-03,Saturday,May,1997,3,19,5,Q2,1997-05,1997-Q2,ALL
490,1997-05-04,Sunday,May,1997,4,20,5,Q2,1997-05,1997-Q2,ALL
491,1997-05-05,Monday,May,1997,5,20,5,Q2,1997-05,1997-Q2,ALL
492,1997-05-06,Tuesday,May,1997,6,20,5,Q2,1997-05,1997-Q2,ALL
493,1997-05-07,Wednesday,May,1997,7,20,5,Q2,1997-05,1997-Q2,ALL
494,1997-05-08,Thursday,May,1997,8,20,5,Q2,1997-05,1997-Q2,ALL
495,1997-05-09,Friday,May,1997,9,20,5,Q2,1997-05,1997-Q2,ALL
496,1997-05-10,Saturday,May,1997,10,20,5,Q2,1997-05,1997-Q2,ALL
497,1997-05-11,Sunday,May,1997,11,21,5,Q2,1997-05,1997-Q2,ALL
498,1997-05-12,Monday,May,1997,12,21,5,Q2,1997-05,1997-Q2,ALL
499,1997-05-13,Tuesday,May,1997,13,21,5,Q2,1997-05,1997-Q2,ALL
500,1997-05-14,Wednesday,May,1997,14,21,5,Q2,1997-05,1997-Q2,ALL
501,1997-05-15,Thursday,May,1997,15,21,5,Q2,1997-05,1997-Q2,ALL
502,1997-05-16,Friday,May,1997,16,21,5,Q2,1997-05,1997-Q2,ALL
503,1997-05-17,Saturday,May,1997,17,21,5,Q2,1997-05,1997-Q2,ALL
504,1997-05-18,Sunday,May,1997,18,22,5,Q2,1997-05,1997-Q2,ALL
505,1997-05-19,Monday,May,1997,19,22,5,Q2,1997-05,1997-Q2,ALL
506,1997-05-20,Tuesday,May,1997,20,22,5,Q2,1997-05,1997-Q2,ALL
507,1997-05-21,Wednesday,May,1997,21,22,5,Q2,1997-05,1997-Q2,ALL
508,1997-05-22,Thursday,May,1997,22,22,5,Q2,1997-05,1997-Q2,ALL
509,1997-05-23,Friday,May,1997,23,22,5,Q2,1997-05,1997-Q2,ALL
510,1997-05-24,Saturday,May,1997,24,22,5,Q2,1997-05,1997-Q2,ALL
511,1997-05-25,Sunday,May,1997,25,23,5,Q2,1997-05,1997-Q2,ALL
512,1997-05-26,Monday,May,1997,26,23,5,Q2,1997-05,1997-Q2,ALL
513,1997-05-27,Tuesday,May,1997,27,23,5,Q2,1997-05,1997-Q2,ALL
514,1997-05-28,Wednesday,May,1997,28,23,5,Q2,1997-05,1997-Q2,ALL
515,1997-05-29,Thursday,May,1997,29,23,5,Q2,1997-05,1997-Q2,ALL
516,1997-05-30,Friday,May,1997,30,23,5,Q2,1997-05,1997-Q2,ALL
517,1997-05-31,Saturday,May,1997,31,23,5,Q2,1997-05,1997-Q2,ALL
518,1997-06-01,Sunday,June,1997,1,24,6,Q2,1997-06,1997-Q2,ALL
519,1997-06-02,Monday,June,1997,2,24,6,Q2,1997-06,1997-Q2,ALL
520,1997-06-03,Tuesday,June,1997,3,24,6,Q2,1997-06,1997-Q2,ALL
521,1997-06-04,Wednesday,June,1997,4,24,6,Q2,1997-06,1997-Q2,ALL
522,1997-06-05,Thursday,June,1997,5,24,6,Q2,1997-06,1997-Q2,ALL
523,1997-06-06,Friday,June,1997,6,24,6,Q2,1997-06,1997-Q2,ALL
524,1997-06-07,Saturday,June,1997,7,24,6,Q2,1997-06,1997-Q2,ALL
525,1997-06-08,Sunday,June,1997,8,25,6,Q2,1997-06,1997-Q2,ALL
526,1997-06-09,Monday,June,1997,9,25,6,Q2,1997-06,1997-Q2,ALL
527,1997-06-10,Tuesday,June,1997,10,25,6,Q2,1997-06,1997-Q2,ALL
528,1997-06-11,Wednesday,June,1997,11,25,6,Q2,1997-06,1997-Q2,ALL
529,1997-06-12,Thursday,June,1997,12,25,6,Q2,1997-06,1997-Q2,ALL
530,1997-06-13,Friday,June,1997,13,25,6,Q2,1997-06,1997-Q2,ALL
531,1997-06-14,Saturday,June,1997,14,25,6,Q2,1997-06,1997-Q2,ALL
532,1997-06-15,Sunday,June,1997,15,26,6,Q2,1997-06,1997-Q2,ALL
533,1997-06-16,Monday,June,1997,16,26,6,Q2,1997-06,1997-Q2,ALL
534,1997-06-17,Tuesday,June,1997,17,26,6,Q2,1997-06,1997-Q2,ALL
535,1997-06-18,Wednesday,June,1997,18,26,6,Q2,1997-06,1997-Q2,ALL
536,1997-06-19,Thursday,June,1997,19,26,6,Q2,1997-06,1997-Q2,ALL
537,1997-06-20,Friday,June,1997,20,26,6,Q2,1997-06,1997-Q2,ALL
538,1997-06-21,Saturday,June,1997,21,26,6,Q2,1997-06,1997-Q2,ALL
539,1997-06-22,Sunday,June,1997,22,27,6,Q2,1997-06,1997-Q2,ALL
540,1997-06-23,Monday,June,1997,23,27,6,Q2,1997-06,1997-Q2,ALL
541,1997-06-24,Tuesday,June,1997,24,27,6,Q2,1997-06,1997-Q2,ALL
542,1997-06-25,Wednesday,June,1997,25,27,6,Q2,1997-06,1997-Q2,ALL
543,1997-06-26,Thursday,June,1997,26,27,6,Q2,1997-06,1997-Q2,ALL
544,1997-06-27,Friday,June,1997,27,27,6,Q2,1997-06,1997-Q2,ALL
545,1997-06-28,Saturday,June,1997,28,27,6,Q2,1997-06,1997-Q2,ALL
546,1997-06-29,Sunday,June,1997,29,28,6,Q2,1997-06,1997-Q2,ALL
547,1997-06-30,Monday,June,1997,30,28,6,Q2,1997-06,1997-Q2,ALL
548,1997-07-01,Tuesday,July,1997,1,28,7,Q3,1997-07,1997-Q3,ALL
549,1997-07-02,Wednesday,July,1997,2,28,7,Q3,1997-07,1997-Q3,ALL
550,1997-07-03,Thursday,July,1997,3,28,7,Q3,1997-07,1997-Q3,ALL
551,1997-07-04,Friday,July,1997,4,28,7,Q3,1997-07,1997-Q3,ALL
552,1997-07-05,Saturday,July,1997,5,28,7,Q3,1997-07,1997-Q3,ALL
553,1997-07-06,Sunday,July,1997,6,29,7,Q3,1997-07,1997-Q3,ALL
554,1997-07-07,Monday,July,1997,7,29,7,Q3,1997-07,1997-Q3,ALL
555,1997-07-08,Tuesday,July,1997,8,29,7,Q3,1997-07,1997-Q3,ALL
556,1997-07-09,Wednesday,July,1997,9,29,7,Q3,1997-07,1997-Q3,ALL
557,1997-07-10,Thursday,July,1997,10,29,7,Q3,1997-07,1997-Q3,ALL
558,1997-07-11,Friday,July,1997,11,29,7,Q3,1997-07,1997-Q3,ALL
559,1997-07-12,Saturday,July,1997,12,29,7,Q3,1997-07,1997-Q3,ALL
560,1997-07-13,Sunday,July,1997,13,30,7,Q3,1997-07,1997-Q3,ALL
561,1997-07-14,Monday,July,1997,14,30,7,Q3,1997-07,1997-Q3,ALL
562,1997-07-15,Tuesday,July,1997,15,30,7,Q3,1997-07,1997-Q3,ALL
563,1997-07-16,Wednesday,July,1997,16,30,7,Q3,1997-07,1997-Q3,ALL
564,1997-07-17,Thursday,July,1997,17,30,7,Q3,1997-07,1997-Q3,ALL
565,1997-07-18,Friday,July,1997,18,30,7,Q3,1997-07,1997-Q3,ALL
566,1997-07-19,Saturday,July,1997,19,30,7,Q3,1997-07,1997-Q3,ALL
567,1997-07-20,Sunday,July,1997,20,31,7,Q3,1997-07,1997-Q3,ALL
568,1997-07-21,Monday,July,1997,21,31,7,Q3,1997-07,1997-Q3,ALL
569,1997-07-22,Tuesday,July,1997,22,31,7,Q3,1997-07,1997-Q3,ALL
570,1997-07-23,Wednesday,July,1997,23,31,7,Q3,1997-07,1997-Q3,ALL
571,1997-07-24,Thursday,July,1997,24,31,7,Q3,1997-07,1997-Q3,ALL
572,1997-07-25,Friday,July,1997,25,31,7,Q3,1997-07,1997-Q3,ALL
573,1997-07-26,Saturday,July,1997,26,31,7,Q3,1997-07,1997-Q3,ALL
574,1997-07-27,Sunday,July,1997,27,32,7,Q3,1997-07,1997-Q3,ALL
575,1997-07-28,Monday,July,1997,28,32,7,Q3,1997-07,1997-Q3,ALL
576,1997-07-29,Tuesday,July,1997,29,32,7,Q3,1997-07,1997-Q3,ALL
577,1997-07-30,Wednesday,July,1997,30,32,7,Q3,1997-07,1997-Q3,ALL
578,1997-07-31,Thursday,July,1997,31,32,7,Q3,1997-07,1997-Q3,ALL
579,1997-08-01,Friday,August,1997,1,32,8,Q3,1997-08,1997-Q3,ALL
580,1997-08-02,Saturday,August,1997,2,32,8,Q3,1997-08,1997-Q3,ALL
581,1997-08-03,Sunday,August,1997,3,33,8,Q3,1997-08,1997-Q3,ALL
582,1997-08-04,Monday,August,1997,4,33,8,Q3,1997-08,1997-Q3,ALL
583,1997-08-05,Tuesday,August,1997,5,33,8,Q3,1997-08,1997-Q3,ALL
584,1997-08-06,Wednesday,August,1997,6,33,8,Q3,1997-08,1997-Q3,ALL
585,1997-08-07,Thursday,August,1997,7,33,8,Q3,1997-08,1997-Q3,ALL
586,1997-08-08,Friday,August,1997,8,33,8,Q3,1997-08,1997-Q3,ALL
587,1997-08-09,Saturday,August,1997,9,33,8,Q3,1997-08,1997-Q3,ALL
588,1997-08-10,Sunday,August,1997,10,34,8,Q3,1997-08,1997-Q3,ALL
589,1997-08-11,Monday,August,1997,11,34,8,Q3,1997-08,1997-Q3,ALL
590,1997-08-12,Tuesday,August,1997,12,34,8,Q3,1997-08,1997-Q3,ALL
591,1997-08-13,Wednesday,August,1997,13,34,8,Q3,1997-08,1997-Q3,ALL
592,1997-08-14,Thursday,August,1997,14,34,8,Q3,1997-08,1997-Q3,ALL
593,1997-08-15,Friday,August,1997,15,34,8,Q3,1997-08,1997-Q3,ALL
594,1997-08-16,Saturday,August,1997,16,34,8,Q3,1997-08,1997-Q3,ALL
595,1997-08-17,Sunday,August,1997,17,35,8,Q3,1997-08,1997-Q3,ALL
596,1997-08-18,Monday,August,1997,18,35,8,Q3,1997-08,1997-Q3,ALL
597,1997-08-19,Tuesday,August,1997,19,35,8,Q3,1997-08,1997-Q3,ALL
598,1997-08-20,Wednesday,August,1997,20,35,8,Q3,1997-08,1997-Q3,ALL
599,1997-08-21,Thursday,August,1997,21,35,8,Q3,1997-08,1997-Q3,ALL
600,1997-08-22,Friday,August,1997,22,35,8,Q3,1997-08,1997-Q3,ALL
601,1997-08-23,Saturday,August,1997,23,35,8,Q3,1997-08,1997-Q3,ALL
602,1997-08-24,Sunday,August,1997,24,36,8,Q3,1997-08,1997-Q3,ALL
603,1997-08-25,Monday,August,1997,25,36,8,Q3,1997-08,1997-Q3,ALL
604,1997-08-26,Tuesday,August,1997,26,36,8,Q3,1997-08,1997-Q3,ALL
605,1997-08-27,Wednesday,August,1997,27,36,8,Q3,1997-08,1997-Q3,ALL
606,1997-08-28,Thursday,August,1997,28,36,8,Q3,1997-08,1997-Q3,ALL
607,1997-08-29,Friday,August,1997,29,36,8,Q3,1997-08,1997-Q3,ALL
608,1997-08-30,Saturday,August,1997,30,36,8,Q3,1997-08,1997-Q3,ALL
609,1997-08-31,Sunday,August,1997,31,37,8,Q3,1997-08,1997-Q3,ALL
610,1997-09-01,Monday,September,1997,1,37,9,Q3,1997-09,1997-Q3,ALL
611,1997-09-02,Tuesday,September,1997,2,37,9,Q3,1997-09,1997-Q3,ALL
612,1997-09-03,Wednesday,September,1997,3,37,9,Q3,1997-09,1997-Q3,ALL
613,1997-09-04,Thursday,September,1997,4,37,9,Q3,1997-09,1997-Q3,ALL
614,1997-09-05,Friday,September,1997,5,37,9,Q3,1997-09,1997-Q3,ALL
615,1997-09-06,Saturday,September,1997,6,37,9,Q3,1997-09,1997-Q3,ALL
616,1997-09-07,Sunday,September,1997,7,38,9,Q3,1997-09,1997-Q3,ALL
617,1997-09-08,Monday,September,1997,8,38,9,Q3,1997-09,1997-Q3,ALL
618,1997-09-09,Tuesday,September,1997,9,38,9,Q3,1997-09,1997-Q3,ALL
619,1997-09-10,Wednesday,September,1997,10,38,9,Q3,1997-09,1997-Q3,ALL
620,1997-09-11,Thursday,September,1997,11,38,9,Q3,1997-09,1997-Q3,ALL
621,1997-09-12,Friday,September,1997,12,38,9,Q3,1997-09,1997-Q3,ALL
622,1997-09-13,Saturday,September,1997,13,38,9,Q3,1997-09,1997-Q3,ALL
623,1997-09-14,Sunday,September,1997,14,39,9,Q3,1997-09,1997-Q3,ALL
624,1997-09-15,Monday,September,1997,15,39,9,Q3,1997-09,1997-Q3,ALL
625,1997-09-16,Tuesday,September,1997,16,39,9,Q3,1997-09,1997-Q3,ALL
626,1997-09-17,Wednesday,September,1997,17,39,9,Q3,1997-09,1997-Q3,ALL
627,1997-09-18,Thursday,September,1997,18,39,9,Q3,1997-09,1997-Q3,ALL
628,1997-09-19,Friday,September,1997,19,39,9,Q3,1997-09,1997-Q3,ALL
629,1997-09-20,Saturday,September,1997,20,39,9,Q3,1997-09,1997-Q3,ALL
630,1997-09-21,Sunday,September,1997,21,40,9,Q3,1997-09,1997-Q3,ALL
631,1997-09-22,Monday,September,1997,22,40,9,Q3,1997-09,1997-Q3,ALL
632,1997-09-23,Tuesday,September,1997,23,40,9,Q3,1997-09,1997-Q3,ALL
633,1997-09-24,Wednesday,September,1997,24,40,9,Q3,1997-09,1997-Q3,ALL
634,1997-09-25,Thursday,September,1997,25,40,9,Q3,1997-09,1997-Q3,ALL
635,1997-09-26,Friday,September,1997,26,40,9,Q3,1997-09,1997-Q3,ALL
636,1997-09-27,Saturday,September,1997,27,40,9,Q3,1997-09,1997-Q3,ALL
637,1997-09-28,Sunday,September,1997,28,41,9,Q3,1997-09,1997-Q3,ALL
638,1997-09-29,Monday,September,1997,29,41,9,Q3,1997-09,1997-Q3,ALL
639,1997-09-30,Tuesday,September,1997,30,41,9,Q3,1997-09,1997-Q3,ALL
640,1997-10-01,Wednesday,October,1997,1,41,10,Q4,1997-10,1997-Q4,ALL
641,1997-10-02,Thursday,October,1997,2,41,10,Q4,1997-10,1997-Q4,ALL
642,1997-10-03,Friday,October,1997,3,41,10,Q4,1997-10,1997-Q4,ALL
643,1997-10-04,Saturday,October,1997,4,41,10,Q4,1997-10,1997-Q4,ALL
644,1997-10-05,Sunday,October,1997,5,42,10,Q4,1997-10,1997-Q4,ALL
645,1997-10-06,Monday,October,1997,6,42,10,Q4,1997-10,1997-Q4,ALL
646,1997-10-07,Tuesday,October,1997,7,42,10,Q4,1997-10,1997-Q4,ALL
647,1997-10-08,Wednesday,October,1997,8,42,10,Q4,1997-10,1997-Q4,ALL
648,1997-10-09,Thursday,October,1997,9,42,10,Q4,1997-10,1997-Q4,ALL
649,1997-10-10,Friday,October,1997,10,42,10,Q4,1997-10,1997-Q4,ALL
650,1997-10-11,Saturday,October,1997,11,42,10,Q4,1997-10,1997-Q4,ALL
651,1997-10-12,Sunday,October,1997,12,43,10,Q4,1997-10,1997-Q4,ALL
652,1997-10-13,Monday,October,1997,13,43,10,Q4,1997-10,1997-Q4,ALL
653,1997-10-14,Tuesday,October,1997,14,43,10,Q4,1997-10,1997-Q4,ALL
654,1997-10-15,Wednesday,October,1997,15,43,10,Q4,1997-10,1997-Q4,ALL
655,1997-10-16,Thursday,October,1997,16,43,10,Q4,1997-10,1997-Q4,ALL
656,1997-10-17,Friday,October,1997,17,43,10,Q4,1997-10,1997-Q4,ALL
657,1997-10-18,Saturday,October,1997,18,43,10,Q4,1997-10,1997-Q4,ALL
658,1997-10-19,Sunday,October,1997,19,44,10,Q4,1997-10,1997-Q4,ALL
659,1997-10-20,Monday,October,1997,20,44,10,Q4,1997-10,1997-Q4,ALL
660,1997-10-21,Tuesday,October,1997,21,44,10,Q4,1997-10,1997-Q4,ALL
661,1997-10-22,Wednesday,October,1997,22,44,10,Q4,1997-10,1997-Q4,ALL
662,1997-10-23,Thursday,October,1997,23,44,10,Q4,1997-10,1997-Q4,ALL
663,1997-10-24,Friday,October,1997,24,44,10,Q4,1997-10,1997-Q4,ALL
664,1997-10-25,Saturday,October,1997,25,44,10,Q4,1997-10,1997-Q4,ALL
665,1997-10-26,Sunday,October,1997,26,45,10,Q4,1997-10,1997-Q4,ALL
666,1997-10-27,Monday,October,1997,27,45,10,Q4,1997-10,1997-Q4,ALL
667,1997-10-28,Tuesday,October,1997,28,45,10,Q4,1997-10,1997-Q4,ALL
668,1997-10-29,Wednesday,October,1997,29,45,10,Q4,1997-10,1997-Q4,ALL
669,1997-10-30,Thursday,October,1997,30,45,10,Q4,1997-10,1997-Q4,ALL
670,1997-10-31,Friday,October,1997,31,45,10,Q4,1997-10,1997-Q4,ALL
671,1997-11-01,Saturday,November,1997,1,45,11,Q4,1997-11,1997-Q4,ALL
672,1997-11-02,Sunday,November,1997,2,46,11,Q4,1997-11,1997-Q4,ALL
673,1997-11-03,Monday,November,1997,3,46,11,Q4,1997-11,1997-Q4,ALL
674,1997-11-04,Tuesday,November,1997,4,46,11,Q4,1997-11,1997-Q4,ALL
